✨1.1.2026, 16:40:22✨ | GET /new-customers?months=7 | Status: 200 | 5ms
✨1.1.2026, 16:40:22✨ | GET /stats | Status: 200 | 12ms
✨1.1.2026, 16:40:23✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:40:23✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 16:40:26✨ | GET /current | Status: 200 | 7ms
✨1.1.2026, 16:40:26✨ | GET /new-customers?months=7 | Status: 200 | 5ms
✨1.1.2026, 16:40:26✨ | GET /stats | Status: 200 | 11ms
✨1.1.2026, 16:40:26✨ | GET /current | Status: 200 | 9ms
✨1.1.2026, 16:40:26✨ | GET /new-customers?months=7 | Status: 200 | 11ms
✨1.1.2026, 16:40:26✨ | GET /stats | Status: 200 | 12ms
✨1.1.2026, 16:40:26✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:40:26✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:40:43✨ | GET /current | Status: 200 | 14ms
✨1.1.2026, 16:40:43✨ | GET /new-customers?months=7 | Status: 200 | 10ms
✨1.1.2026, 16:40:43✨ | GET /stats | Status: 200 | 29ms
✨1.1.2026, 16:40:43✨ | GET /current | Status: 200 | 19ms
✨1.1.2026, 16:40:43✨ | GET /new-customers?months=7 | Status: 200 | 17ms
✨1.1.2026, 16:40:43✨ | GET /stats | Status: 200 | 22ms
✨1.1.2026, 16:40:43✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 16:40:44✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:50:24✨ | GET /current | Status: 200 | 162ms
✨1.1.2026, 16:50:24✨ | GET /new-customers?months=7 | Status: 200 | 136ms
✨1.1.2026, 16:50:24✨ | GET /stats | Status: 200 | 206ms
✨1.1.2026, 16:50:24✨ | GET /current | Status: 200 | 17ms
✨1.1.2026, 16:50:24✨ | GET /new-customers?months=7 | Status: 200 | 18ms
✨1.1.2026, 16:50:24✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:50:24✨ | GET /stats | Status: 200 | 90ms
✨1.1.2026, 16:50:24✨ | GET /revenue?months=7 | Status: 200 | 5ms
✨1.1.2026, 16:53:39✨ | GET /current | Status: 200 | 9ms
✨1.1.2026, 16:53:39✨ | GET /new-customers?months=7 | Status: 200 | 7ms
✨1.1.2026, 16:53:39✨ | GET /stats | Status: 200 | 11ms
✨1.1.2026, 16:53:40✨ | GET /current | Status: 200 | 12ms
✨1.1.2026, 16:53:40✨ | GET /new-customers?months=7 | Status: 200 | 10ms
✨1.1.2026, 16:53:40✨ | GET /stats | Status: 200 | 14ms
✨1.1.2026, 16:53:40✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 16:53:40✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:53:53✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:53:53✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:54:30✨ | GET /current | Status: 200 | 13ms
✨1.1.2026, 16:54:30✨ | GET /new-customers?months=7 | Status: 200 | 10ms
✨1.1.2026, 16:54:30✨ | GET /current | Status: 200 | 8ms
✨1.1.2026, 16:54:30✨ | GET /new-customers?months=7 | Status: 200 | 10ms
✨1.1.2026, 16:54:30✨ | GET /stats | Status: 200 | 32ms
✨1.1.2026, 16:54:30✨ | GET /stats | Status: 200 | 13ms
✨1.1.2026, 16:54:30✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 16:54:30✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:54:43✨ | GET /current | Status: 200 | 12ms
✨1.1.2026, 16:54:43✨ | GET /new-customers?months=7 | Status: 200 | 9ms
✨1.1.2026, 16:54:43✨ | GET /stats | Status: 200 | 27ms
✨1.1.2026, 16:54:43✨ | GET /current | Status: 200 | 10ms
✨1.1.2026, 16:54:43✨ | GET /new-customers?months=7 | Status: 200 | 11ms
✨1.1.2026, 16:54:43✨ | GET /stats | Status: 200 | 18ms
✨1.1.2026, 16:54:43✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:54:43✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:54:46✨ | GET /current | Status: 200 | 12ms
✨1.1.2026, 16:54:46✨ | GET /new-customers?months=7 | Status: 200 | 9ms
✨1.1.2026, 16:54:46✨ | GET /current | Status: 200 | 8ms
✨1.1.2026, 16:54:46✨ | GET /stats | Status: 200 | 33ms
✨1.1.2026, 16:54:46✨ | GET /new-customers?months=7 | Status: 200 | 9ms
✨1.1.2026, 16:54:46✨ | GET /stats | Status: 200 | 11ms
✨1.1.2026, 16:54:46✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 16:54:46✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:54:56✨ | GET /current | Status: 200 | 5ms
✨1.1.2026, 16:54:56✨ | GET /new-customers?months=7 | Status: 200 | 11ms
✨1.1.2026, 16:54:56✨ | GET /stats | Status: 200 | 18ms
✨1.1.2026, 16:54:56✨ | GET /new-customers?months=7 | Status: 200 | 13ms
✨1.1.2026, 16:54:56✨ | GET /current | Status: 200 | 8ms
✨1.1.2026, 16:54:56✨ | GET /stats | Status: 200 | 68ms
✨1.1.2026, 16:54:56✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:54:56✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:55:08✨ | GET /new-customers?months=7 | Status: 200 | 33ms
✨1.1.2026, 16:55:08✨ | GET /current | Status: 200 | 33ms
✨1.1.2026, 16:55:08✨ | GET /new-customers?months=7 | Status: 200 | 22ms
✨1.1.2026, 16:55:08✨ | GET /revenue?months=7 | Status: 200 | 4ms
✨1.1.2026, 16:55:08✨ | GET /current | Status: 200 | 22ms
✨1.1.2026, 16:55:08✨ | GET /stats | Status: 200 | 68ms
✨1.1.2026, 16:55:08✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:55:08✨ | GET /stats | Status: 200 | 14ms
✨1.1.2026, 16:56:11✨ | GET /current | Status: 200 | 15ms
✨1.1.2026, 16:56:11✨ | GET /new-customers?months=7 | Status: 200 | 11ms
✨1.1.2026, 16:56:11✨ | GET /stats | Status: 200 | 15ms
✨1.1.2026, 16:56:11✨ | GET /new-customers?months=7 | Status: 200 | 13ms
✨1.1.2026, 16:56:11✨ | GET /current | Status: 200 | 12ms
